,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,641905382.0,554687175.0,554687200.0
Share Issued,641905382.0,554687175.0,554687200.0
Net Debt,1137000.0,,245000.0
Total Debt,2191000.0,682569.114305,250000.0
Tangible Book Value,-5929000.0,-57724351.378104,-56039000.0
Invested Capital,3572000.0,-57324931.338789,-55789000.0
Working Capital,364000.0,-56293549.331512,-54632000.0
Net Tangible Assets,-5929000.0,-57724351.378104,-56039000.0
Capital Lease Obligations,109000.0,283149.074991,0.0
Common Stock Equity,1490000.0,-57724351.378104,-56039000.0
Total Capitalization,3290000.0,-57724351.378104,-56039000.0
Total Equity Gross Minority Interest,6079000.0,-55787059.627208,-54131000.0
Minority Interest,4589000.0,1937291.750896,1908000.0
Stockholders Equity,1490000.0,-57724351.378104,-56039000.0
Gains Losses Not Affecting Retained Earnings,-364000.0,11481688.020187,10690000.0
Other Equity Adjustments,-364000.0,11481688.020187,10690000.0
Retained Earnings,-370181000.0,-353187274.324192,-370331000.0
Additional Paid In Capital,371955000.0,283912085.767263,303532000.0
Capital Stock,80000.0,69149.158639,70000.0
Common Stock,80000.0,69149.158639,70000.0
Total Liabilities Net Minority Interest,3268000.0,69220538.415425,68303000.0
Total Non Current Liabilities Net Minority Interest,1824000.0,557654.505151,727000.0
Other Non Current Liabilities,,494360.718817,4106000.0
Liabilities Heldfor Sale Non Current,0.0,,727000.0
Long Term Debt And Capital Lease Obligation,1824000.0,63293.786335,0.0
Long Term Capital Lease Obligation,24000.0,63293.786335,0.0
Long Term Debt,1800000.0,,
Current Liabilities,1444000.0,68662883.910273,67576000.0
Other Current Liabilities,7000.0,,67066000.0
Current Deferred Liabilities,123000.0,,0.0
Current Deferred Revenue,123000.0,,0.0
Current Debt And Capital Lease Obligation,367000.0,619275.327971,250000.0
Current Capital Lease Obligation,85000.0,219855.288656,0.0
Current Debt,282000.0,399420.039315,250000.0
Other Current Borrowings,282000.0,,250000.0
Line Of Credit,,399420.039315,
Payables And Accrued Expenses,947000.0,68043608.582303,260000.0
Current Accrued Expenses,340000.0,65350416.149674,11000.0
Interest Payable,270000.0,,11000.0
Payables,607000.0,2693192.432628,249000.0
Other Payable,387000.0,,249000.0
Dueto Related Parties Current,,0.0,302893000.0
Total Tax Payable,83000.0,2351350.220971,0.0
Accounts Payable,137000.0,341842.211658,0.0
Total Assets,9347000.0,13433478.788217,14172000.0
Total Non Current Assets,7539000.0,1064144.209455,1228000.0
Other Non Current Assets,9000.0,773327.385019,1228000.0
Non Current Note Receivables,,155585.606937,1625000.0
Goodwill And Other Intangible Assets,7419000.0,,0.0
Other Intangible Assets,3660000.0,,
Goodwill,3759000.0,,0.0
Net PPE,111000.0,135231.217499,0.0
Gross PPE,111000.0,135231.217499,0.0
Other Properties,111000.0,,
Buildings And Improvements,,135231.217499,1790000.0
Properties,,0.0,0.0
Current Assets,1808000.0,12369334.578762,12944000.0
Other Current Assets,,245925.636772,1514000.0
Assets Held For Sale Current,0.0,,12936000.0
Prepaid Assets,404000.0,,3000.0
Inventory,134000.0,,0.0
Receivables,325000.0,7397147.597206,0.0
Receivables Adjustments Allowances,,,-4959000.0
Other Receivables,,,1810000.0
Duefrom Related Parties Current,,,0.0
Taxes Receivable,,,740000.0
Loans Receivable,,7135607.63429,62476000.0
Accounts Receivable,325000.0,261539.962916,0.0
Allowance For Doubtful Accounts Receivable,-92000.0,,0.0
Gross Accounts Receivable,417000.0,,0.0
Cash Cash Equivalents And Short Term Investments,945000.0,4726261.344784,5000.0
Other Short Term Investments,,,0.0
Cash And Cash Equivalents,945000.0,4726261.344784,5000.0
